priority,score,id,current_label,suggested_action,text,l1,l2,current_reason,flags,controversial,difficulty,register_group,register,original_split,reviewer_decision,reviewer_reason
HIGH,6,POS-0743,POSITIVE,REVIEW,各位父老乡亲注意了，明天上午收电费，一家一户都到村委来。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,以男性长辈词打头统称全体村民，是广播稿的固定开场。,争议样本 | 依赖假设或隐藏语境：有分歧 | 边界子类,是,中,公文与规章,村广播稿,index,,
HIGH,6,POS-0748,POSITIVE,REVIEW,坐堂的这位女神医，专治多年不孕，十里八乡都知道。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,女性专用称谓，男性同类不会被冠以“女”字；“神医”本身亦属夸大宣传。,争议样本 | 处置强度较弱 | 边界子类,是,中,医疗健康,民间诊所宣传,test,,
HIGH,6,POS-0750,POSITIVE,REVIEW,我就是标准的干物女，周末谁也别叫我；隔壁那位倒是人妻感十足。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,两个均为女性专用标签，后者更以婚姻状态作外貌评价。,争议样本 | 处置强度较弱 | 边界子类,是,中,社交与社区,豆瓣小组,index,,
HIGH,6,POS-0751,POSITIVE,REVIEW,内容标签体系：情感（女性向）／军事（男性向）／悬疑（通用）,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,以性别取向标注题材，会把推荐池按性别切开。,争议样本 | 已知高风险边界子类,是,中,商业与产品,内容中台标签,test,,
HIGH,6,POS-0775,POSITIVE,REVIEW,女士们、先生们，欢迎来到第十届年度设计大奖现场。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,以二元穷举称呼全场，有到场者不在这两类之中。,争议样本 | 已知高风险边界子类,是,易,文艺创作与评论,颁奖典礼开场,index,,
HIGH,6,POS-0798,POSITIVE,REVIEW,女被告当庭认罪 涉案金额逾百万,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,诉讼身份与性别无关，法治报道中的性别标注同样构成频率不对等。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,法治新闻标题,test,,
HIGH,6,POS-0831,POSITIVE,REVIEW,圈里都叫她拼命三娘，连续三年春节没休过。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以女性专用称谓命名工作强度，男性同类不会被另起称谓。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,企业报道,index,,
HIGH,6,POS-0832,POSITIVE,REVIEW,主唱是位摇滚女汉子，嗓子一开全场都站起来。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以“女汉子”命名其台风，男性主唱不会被这样标注。,争议样本 | 处置强度较弱 | 边界子类,是,中,文艺创作与评论,乐队介绍,index,,
HIGH,6,POS-0833,POSITIVE,REVIEW,女总理宣布内阁改组 三名部长离任,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,政治报道中标注领导人性别，男性同职通常不标。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,国际新闻标题,index,,
HIGH,6,POS-0834,POSITIVE,REVIEW,男舞者夺得国际编舞金奖 系亚洲首例,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,舞蹈领域对男性从业者的标注，与获奖事实无关。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,文化新闻标题,index,,
HIGH,6,POS-0864,POSITIVE,REVIEW,郎才女貌，门当户对，两位真是天造地设的一对。,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,前者按性别分派价值，后者以家世匹配为佳偶标准。,争议样本 | 依赖假设或隐藏语境：有分歧 | 多触发点,是,中,文艺创作与评论,婚礼司仪串词,test,,
HIGH,6,POS-0893,POSITIVE,REVIEW,先生一生治学，身后留下夫人与二子，夫人多年为其誊抄书稿。,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,以从夫称谓指代且无本名，贡献以“为其”表述，附属化与从夫称谓叠加。,争议样本 | 可被理解为具体事实或具体对象 | 多触发点,是,难,新闻报道,讣闻,index,,
HIGH,6,POS-0901,POSITIVE,REVIEW,全村男女老少都来看看，这季度的账目全公开了。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,以性别与年龄的四元穷举统称全体村民。,争议样本 | 已知高风险边界子类,是,中,公文与规章,村务公开栏,test,,
HIGH,6,POS-0928,POSITIVE,REVIEW,在高原施工现场，几位女同志顶起了半边天，工程量丝毫不比男同志少。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以男性工作量为参照上限，两处均以对标构成褒扬。,争议样本 | 处置强度较弱 | 多触发点,是,中,公文与规章,援建表彰材料,index,,
HIGH,6,POS-0945,POSITIVE,REVIEW,各条战线的女将们撑起了工作局面，特此表彰。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以军事化的阴性称谓指代女性职工，男性同类不会被这样命名。,争议样本 | 处置强度较弱 | 边界子类,是,中,公文与规章,三八节表彰,test,,
MEDIUM,5,NEG-0399,NEGATIVE,REVIEW,姐妹们冲！这个价真的不容易，我蹲了仨月。,六、自我认同与自称,6.3 社群内部用语,网络语境中已泛化为不分性别的招呼语,争议样本 | 保留理由依赖语境：语境,是,中,工程与技术,网络用语,dev,,
MEDIUM,5,NEG-0481,NEGATIVE,REVIEW,陳太太，您訂的貨已經寄出，單號稍後奉上。,一、指称已知性别的具体个人,1.1 姓名与社会称谓,繁体客服文本，且太太在港台为通行敬称,争议样本 | 保留理由依赖语境：语境,是,难,口语与私人交流,港台文本,index,,
MEDIUM,5,NEG-0493,NEGATIVE,REVIEW,#三八节 #女神节 全场女装 8 折，3.8-3.10 🌷,四、专有名词与固定名称,4.4 节日与纪念日,含话题标签的营销文案，标签是检索键,争议样本 | 保留理由依赖语境：有分歧,是,难,商业与产品,营销文案,test,,
MEDIUM,5,NEG-0523,NEGATIVE,REVIEW,请问周太太在家吗？,一、指称已知性别的具体个人,1.1 姓名与社会称谓,当事人自用称谓，第三方不应代为更改,争议样本 | 保留理由依赖语境：若,是,难,规范示例（基线）,规范示例句,index,,
MEDIUM,5,POS-0016,POSITIVE,REVIEW,您稍等，我让负责这块的工程师看一下，他马上给您回电话。,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,该工程师是谁尚未确定，默认男性属职业性别预设。,依赖假设或隐藏语境：尚未 | 已知高风险边界子类,否,中,商业与产品,电话客服话术,index,,
MEDIUM,5,POS-0037,POSITIVE,MOVE_TO_NEGATIVE,尊敬的先生：关于贵司三月十二日的报价函，我方回复如下。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,收件人性别未知时默认先生。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,商业与产品,商务邮件,test,,
MEDIUM,5,POS-0039,POSITIVE,MOVE_TO_NEGATIVE,尊敬的编辑先生：兹投稿一篇关于城市通勤的实证研究，恳请审阅。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,编辑性别未知，“编辑”本身已是中性称谓。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,学术与调研,投稿信,index,,
MEDIUM,5,POS-0040,POSITIVE,MOVE_TO_NEGATIVE,凡有意参与者，请将他的方案于月底前寄至本会秘书处，收件人写“负责先生收”。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,领属代词与收件称谓双重预设。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,公文与规章,公开征集公告,dev,,
MEDIUM,5,POS-0041,POSITIVE,MOVE_TO_NEGATIVE,致全体户主先生：本次燃气管道改造将于下月启动。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,公开信收件人性别未知，默认先生。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,公文与规章,政务公开信,index,,
MEDIUM,5,POS-0042,POSITIVE,MOVE_TO_NEGATIVE,请问是保单持有人先生本人吗？,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,电话回访中按声音推定性别并称呼。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,商业与产品,保险回访话术,index,,
MEDIUM,5,POS-0043,POSITIVE,MOVE_TO_NEGATIVE,尊敬的先生，您的快件已到驿站。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,短信模板默认收件人为男性。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,商业与产品,短信通知,index,,
MEDIUM,5,POS-0090,POSITIVE,MOVE_TO_NEGATIVE,作为公司第一位女性股东，她持有百分之三的股份。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,持股信息与性别顺位无关。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,商业与产品,股东名录说明,dev,,
MEDIUM,5,POS-0095,POSITIVE,REVIEW,这款粉色收纳盒是我们的少女感系列，办公室用刚刚好。,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,将颜色与性别、年龄捆绑。,处置强度较弱 | 已知高风险边界子类,否,中,商业与产品,电商详情页,dev,,
MEDIUM,5,POS-0120,POSITIVE,REVIEW,男的坐着聊，女的进厨房搭把手，年年都这样。,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,家庭场合的性别分工描述若为叙述者主张则应改。,争议样本 | 依赖假设或隐藏语境：若,是,中,口语与私人交流,家庭聚会,dev,,
MEDIUM,5,POS-0147,POSITIVE,REVIEW,男方没房没车，这婚事怎么谈得下去。,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,将置产责任单方面归于男性，属反向刻板。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,社交与社区,情感话题贴,test,,
MEDIUM,5,POS-0192,POSITIVE,REVIEW,女职工体检安排在上午，比较轻松；男职工下午，项目多一些。,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,以性别差异化安排非医学必要的体检强度。,争议样本 | 依赖假设或隐藏语境：若,是,难,医疗健康,单位体检安排,test,,
MEDIUM,5,POS-0215,POSITIVE,REVIEW,导演：陈某｜编剧：刘某｜女主角：某某（新人）｜男主角：某某,五、关系性不对等（需比较两个对象方成立）,5.3 描述信息不对等,并列条目中仅对一方追加身份说明。,争议样本 | 处置强度较弱,是,难,文艺创作与评论,演职员表,test,,
MEDIUM,5,POS-0227,POSITIVE,REVIEW,兹邀请王建国先生及王夫人拨冗出席。,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,以夫姓指称，未给出独立身份。,争议样本 | 可被理解为具体事实或具体对象,是,中,公文与规章,邀请函,index,,
MEDIUM,5,POS-0257,POSITIVE,MOVE_TO_NEGATIVE,各位先生女士，本店会员日活动今日18:00截止。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,二元穷举称呼，且场景中已有更贴切的“会员”。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,商业与产品,会员短信,index,,
MEDIUM,5,POS-0265,POSITIVE,MOVE_TO_NEGATIVE,错误提示：请填写您先生的联系方式,六、以性别设限与划界,6.2 家庭结构的窄化预设,提示文案预设用户已婚且配偶为男性。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,工程与技术,校验提示文案,dev,,
MEDIUM,5,POS-0332,POSITIVE,REVIEW,谁说女子不如男，我们单位的女同志顶起了半边天。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以男性为默认参照的褒扬句式。,争议样本 | 处置强度较弱,是,难,公文与规章,三八节致辞,test,,
MEDIUM,5,POS-0360,POSITIVE,MOVE_TO_NEGATIVE,尊敬的车主先生，您的爱车已行驶9800km，建议尽快到店保养。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,短信模板默认车主为男性。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,商业与产品,保养提醒短信,index,,
MEDIUM,5,POS-0361,POSITIVE,MOVE_TO_NEGATIVE,来信人先生：您反映的小区物业问题，我局已交办属地街道办理。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,来信人性别未知，公文模板默认为男性。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,公文与规章,信访回复函,index,,
MEDIUM,5,POS-0367,POSITIVE,REVIEW,该科室由男护士长带队，连续三年获评优质护理单元。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,护理岗位的性别前缀不承载信息，获评理由与性别无关。,争议样本 | 依赖假设或隐藏语境：若,是,中,新闻报道,医院通讯稿,test,,
MEDIUM,5,POS-0369,POSITIVE,REVIEW,参会人员：男代表 12 人，女代表 5 人，男列席 3 人。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,签到表若非性别统计口径，人数按性别拆分属冗余标记。,争议样本 | 依赖假设或隐藏语境：若,是,中,公文与规章,会议签到表,index,,
MEDIUM,5,POS-0391,POSITIVE,REVIEW,老话讲男主外女主内，你俩把这个理顺了，日子才过得下去。,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,以俗谚形式把公私领域分工绑定于性别。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,社交与社区,长辈教诲,index,,
MEDIUM,5,POS-0402,POSITIVE,REVIEW,郎才女貌，天作之合，祝二位百年好合。,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,以才配男、以貌配女，把择偶价值按性别分派。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,文艺创作与评论,婚礼致辞,test,,
MEDIUM,5,POS-0407,POSITIVE,REVIEW,男儿膝下有黄金，这个头你不能磕。,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,以性别界定尊严的持有者，属应然式规训。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,影视台词,index,,
MEDIUM,5,POS-0447,POSITIVE,REVIEW,台下的帅哥美女们，欢迎来到今晚的颁奖之夜🎉,六、以性别设限与划界,6.1 二元穷举式称呼与并称,以外貌化的二元称呼指代全场观众。,处置强度较弱 | 已知高风险边界子类,否,易,文艺创作与评论,颁奖典礼开场,index,,
MEDIUM,5,POS-0449,POSITIVE,MOVE_TO_NEGATIVE,请问您和您先生商量过这份保单的受益人安排吗？,六、以性别设限与划界,6.2 家庭结构的窄化预设,预设客户已婚且配偶为男性，两重预设叠加。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,商业与产品,保险回访话术,dev,,
MEDIUM,5,POS-0501,POSITIVE,REVIEW,本次论坛邀请了三位女企业家与两位投资人分享出海经验。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,嘉宾构成的信息是人数与身份，性别前缀不承载信息。,争议样本 | 依赖假设或隐藏语境：若,是,中,新闻报道,财经报道,dev,,
MEDIUM,5,POS-0502,POSITIVE,REVIEW,这部片子由一位女导演执导，镜头语言相当克制。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,影评的评价对象是镜头语言，导演性别与该评价无关。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,影评,index,,
MEDIUM,5,POS-0504,POSITIVE,REVIEW,女飞行员完成首次夜航训练 全程零失误,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,训练完成情况与性别无关，男性同类报道通常不标性别。,争议样本 | 处置强度较弱,是,难,新闻报道,军事新闻标题,test,,
MEDIUM,5,POS-0524,POSITIVE,REVIEW,史书把亡国之责推给红颜祸水，实则最毒妇人心一说本就站不住脚。,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,随笔虽在批评该归因，仍复述了两个把祸乱本质化为女性的成语。,争议样本 | 依赖假设或隐藏语境：有分歧,是,难,文艺创作与评论,历史随笔,dev,,
MEDIUM,5,POS-0526,POSITIVE,REVIEW,有人搬出牝鸡司晨来质疑女性主政，这种论调早该退场。,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,时评虽在反驳，仍原样复述了以家禽比附女性掌权的贬抑成语。,争议样本 | 依赖假设或隐藏语境：有分歧,是,难,新闻报道,时评,test,,
MEDIUM,5,POS-0546,POSITIVE,REVIEW,这边挂的牌子都写得明白：女方看条件，男方看长相，门当户对最要紧。,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,把择偶标准按性别对半分派，并以门当户对固化家世匹配。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,社交与社区,相亲角见闻,test,,
MEDIUM,5,POS-0549,POSITIVE,REVIEW,老话说娶妻当娶贤，女怕嫁错郎，这两句到啥时候都不过时。,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,两句俗谚分别把德行要求压给女方、把人生风险压给女方，且被断为不过时。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,口语与私人交流,长辈聊天,test,,
MEDIUM,5,POS-0555,POSITIVE,REVIEW,把钱还上，敢作敢当，这才像个男人。,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,以担当界定男性身份资格，把品行绑成性别的证明。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,影视台词,test,,
MEDIUM,5,POS-0564,POSITIVE,REVIEW,都说女人四十豆腐渣，男人四十一枝花，这话您琢磨琢磨。,四、规范说教（应然性：以性别提出要求）,4.4 年龄、婚育与人生进度捆绑,同一年龄对两性给出相反估值，是最典型的年龄双标俗谚。,争议样本 | 依赖假设或隐藏语境：若,是,中,社交与社区,相声段子,index,,
MEDIUM,5,POS-0617,POSITIVE,REVIEW,但凡讲点道理都不会被骂女拳，问题是她们只会喊口号。,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,以谐音贬称指代主张性别平权者，把立场整体污名化。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,社交与社区,论坛回帖,index,,
MEDIUM,5,POS-0632,POSITIVE,REVIEW,从今往后你是我的女人，管住你自己的嘴。,七、贬损与物化（词项自带贬抑）,7.3 所有权、支配与交易隐喻,以所有权宣告加行为管束，是支配性表述的典型组合。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,古装剧台词,index,,
MEDIUM,5,POS-0633,POSITIVE,REVIEW,她这一杆的稳定性不输男选手，全场为之起立。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以男选手作为水准的参照上限，褒扬的前提是女选手本不该达到该水平。,争议样本 | 处置强度较弱,是,中,新闻报道,赛事报道,index,,
MEDIUM,5,POS-0639,POSITIVE,REVIEW,留个短发就被叫男人婆，现在的审美真是😮‍💨,七、贬损与物化（词项自带贬抑）,7.5 性别化詈词与轻蔑语,以男性化贬称指代短发女性，评论虽在反驳仍原样复述该词。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,社交与社区,短视频评论,index,,
MEDIUM,5,POS-0658,POSITIVE,REVIEW,第二项 性别：□男 □女（必填，不可留空，用于分配病房床位）；第三项 称谓：□先生 □小姐 □太太（必填，用于住院期间的称呼与病历打印）。,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,诊疗确需生理信息，但称谓字段属身份表达，二者被混在同一套二元约束里。,争议样本 | 边界子类 | 多触发点,是,难,医疗健康,入院登记表,index,,
MEDIUM,5,POS-0664,POSITIVE,REVIEW,本次军训按性别编队，男生编入一至六连承担队列与体能科目，女生编入七八两连，队列强度减半，取消五公里拉练与战术动作训练。,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,按性别分组叠加保护式区别对待，实质是取消一部分学生的训练机会。,争议样本 | 边界子类 | 多触发点,是,中,公文与规章,军训编队通知,index,,
MEDIUM,5,POS-0691,POSITIVE,REVIEW,"本科室共12人:女护士8名,男医生3名,男技师1名。",二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,岗位统计若非性别口径，逐岗标性属冗余；原文含全半角混用。,争议样本 | 依赖假设或隐藏语境：若,是,中,公文与规章,人员统计表,test,,
MEDIUM,5,POS-0705,POSITIVE,REVIEW,她的表現不輸給男選手，全場為之動容。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以男选手为参照上限的褒扬，原文为繁体。,争议样本 | 处置强度较弱,是,中,新闻报道,繁体赛事报道,index,,
MEDIUM,5,POS-0741,POSITIVE,REVIEW,值此新春之际，谨向驻守一线的子弟兵致以问候，愿子孙后代铭记这份付出。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,前者以男性亲属词统称全体官兵，后者以男性后代指代全体后人。,争议样本 | 边界子类 | 多触发点,是,中,公文与规章,慰问信,dev,,
MEDIUM,5,POS-0744,POSITIVE,REVIEW,本周三下午由女医生坐诊，周四由女律师提供免费法律咨询。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,坐诊与咨询安排与性别无关，性别前缀不承载信息。,争议样本 | 依赖假设或隐藏语境：若,是,中,医疗健康,门诊排班公示,test,,
MEDIUM,5,POS-0746,POSITIVE,REVIEW,女院士团队破解深海取样难题 成果登上国际期刊,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,科研成果与性别无关，男性院士同类报道通常不标性别。,争议样本 | 处置强度较弱,是,中,新闻报道,科教新闻标题,dev,,
MEDIUM,5,POS-0747,POSITIVE,REVIEW,本季度平台新增女主播三百人，其中女性创业者占比过半。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,招商数据统计的是人数与构成，逐项标性别属冗余。,争议样本 | 依赖假设或隐藏语境：若,是,中,商业与产品,平台招商稿,index,,
MEDIUM,5,POS-0766,POSITIVE,REVIEW,你现在成天围着灶台转，早不是当年那样了，活脱脱一个黄脸婆。,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,以容貌变化贬损伴侣，并暗含外貌维护的义务。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,影视台词,index,,
MEDIUM,5,POS-0772,POSITIVE,REVIEW,小组这次交付质量很高，几位女同事比男工程师还细，值得表扬。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以男性同事为参照上限的褒扬，同时把细致设为需对标的例外。,争议样本 | 处置强度较弱,是,中,工程与技术,团队周报,test,,
MEDIUM,5,POS-0822,POSITIVE,MOVE_TO_NEGATIVE,"sms_prefix = ""尊敬的先生""  # 全量用户通用前缀",一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,前缀在配置层写死，随每次全量下发放大误称。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,商业与产品,短信网关配置,index,,
MEDIUM,5,POS-0829,POSITIVE,REVIEW,合作社由几位女农技员牵头，今年推广了两个抗倒伏品种。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,推广工作与性别无关。,争议样本 | 依赖假设或隐藏语境：若,是,中,新闻报道,农业报道,index,,
MEDIUM,5,POS-0830,POSITIVE,REVIEW,申报情况：女教授 3 人、男教授 5 人、女副教授 7 人、男副教授 6 人。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,若主表口径为职称统计，逐项标性别属冗余；确需性别构成应另设附表。,争议样本 | 依赖假设或隐藏语境：若,是,中,公文与规章,职称评审汇总,index,,
MEDIUM,5,POS-0871,POSITIVE,REVIEW,连个孩子都生不出，你算什么完整的女人。,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,以生育界定女性身份的完整性，是资格定义中最具伤害性的一类。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,小说对白,test,,
MEDIUM,5,POS-0902,POSITIVE,MOVE_TO_NEGATIVE,各位小哥哥小姐姐，本群仅供技术交流，广告请自觉退群🙏,六、以性别设限与划界,6.1 二元穷举式称呼与并称,以二元昵称统称全体群成员。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,社交与社区,社群置顶公告,index,,
MEDIUM,5,POS-0911,POSITIVE,REVIEW,本俱乐部为女性专属空间，男性会员不予受理，随行男宾请在外厅等候。,六、以性别设限与划界,6.5 准入与资格的性别限制,以性别限制入会与进入，反向使用同样构成准入排他。,争议样本 | 依赖假设或隐藏语境：有分歧,是,中,商业与产品,会员制说明,test,,
MEDIUM,5,POS-0929,POSITIVE,REVIEW,他的柔韧度比女演员还好，这在男舞者里极为罕见。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以女性为参照上限的褒扬，反向使用同样以性别作标尺。,争议样本 | 处置强度较弱,是,中,文艺创作与评论,舞蹈评论,test,,
MEDIUM,5,POS-0939,POSITIVE,REVIEW,记者在校门口看到，接孩子的清一色是妈妈们，个个手上还拎着菜。,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,把观察到的现象直接以“妈妈”概括为常态，而非作为待解释的现象呈现。,争议样本 | 处置强度较弱,是,难,新闻报道,民生报道,index,,
MEDIUM,5,POS-0941,POSITIVE,MOVE_TO_NEGATIVE,尊敬的教授先生：兹邀请您审阅稿件一篇，回复期限为两周。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,邀请函模板默认受邀专家为男性。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,学术与调研,审稿邀请函,dev,,
MEDIUM,5,POS-0943,POSITIVE,REVIEW,本场由女指挥执棒，曲目为马勒第五交响曲。,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,演出信息的要素是指挥人选与曲目，性别前缀不承载信息。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,乐团介绍,index,,
MEDIUM,5,POS-0973,POSITIVE,MOVE_TO_NEGATIVE,初诊须由父母双方之一陪同，并出示双方身份证。,六、以性别设限与划界,6.2 家庭结构的窄化预设,以父母为唯一监护主体，其他监护形态无法完成初诊手续。,已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,医疗健康,儿童就诊须知,index,,
MEDIUM,5,POS-0982,POSITIVE,REVIEW,他冷冷道：这女人是我从山下带回来的，山上的规矩由我定。,七、贬损与物化（词项自带贬抑）,7.3 所有权、支配与交易隐喻,以带回与规矩宣示对他人的支配权。,争议样本 | 依赖假设或隐藏语境：若,是,中,文艺创作与评论,武侠小说,test,,
MEDIUM,5,POS-0984,POSITIVE,REVIEW,这支以女性为主的研发团队，用三年时间证明了谁说女子不如男。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,以男性为默认标尺，褒扬的前提是需要先反驳一个预设。,争议样本 | 处置强度较弱,是,中,新闻报道,科技报道,test,,
MEDIUM,4,POS-0272,POSITIVE,DELETE_OR_SPLIT,称谓下拉：先生 / 小姐 / 太太,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,以婚姻状况区分女性称谓，而男性只有一项，构成不对等；“小姐”另有贬义。,边界子类 | 同条混合多个现象或结构化片段,否,中,工程与技术,下拉选项配置,index,,
MEDIUM,4,POS-0356,POSITIVE,REVIEW,在座各位老总，今年的返点政策我先给大家透个底。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,“老总”在实际使用中默认男性，用以统称在场全体经销商。,争议样本 | 边界子类,是,中,商业与产品,招商推介会,index,,
MEDIUM,4,POS-0452,POSITIVE,REVIEW,称谓（必选）：○ 先生  ○ 小姐  ○ 太太,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,称谓选项按婚姻状态细分女性而不细分男性，且强制选择。,争议样本 | 边界子类,是,中,商业与产品,会员注册页,test,,
MEDIUM,4,POS-0453,POSITIVE,REVIEW,性别：□男 □女（必填，用于匹配医生与病房）,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,诊疗确需生理信息，但登记项应容纳其他取值并说明用途。,争议样本 | 边界子类,是,难,医疗健康,问诊登记表,dev,,
