编号,来源版本,L1类别,L2子类,语体大类,语体,噪声类型,文本长度,输入句子,期望输出,期望标签,性别触发词,保留理由,常见误改（负例陷阱）,难度,是否争议,备注,处置,切分,处置理由
NEG-0231,v2,八、语言本体层面的历史残留,8.3 已中性化的复合词,学术与调研,修辞说明,无,,“祖国母亲”是修辞化的拟人表达，不是在给国家指定性别。,,无需改写,祖国母亲,修辞用法，句子本身在作说明,该表达是修辞化的拟人说法,中,否,,主集,test,
NEG-0232,v2,八、语言本体层面的历史残留,8.3 已中性化的复合词,口语与私人交流,口语,无,,这片林子是他爷爷那辈种的，子子孙孙都得护着。,,无需改写,子子孙孙,泛指后代，不专指男性,这片林子是长辈那辈种的，后代都得护着,中,是,,主集,index,
NEG-0233,v2,八、语言本体层面的历史残留,8.3 已中性化的复合词,学术与调研,历史文献,无,,“兄弟民族”是上世纪文献中的固定说法，今多改用“各民族”。,,无需改写,兄弟民族,历史文献用语，句子本身已说明其演变,上世纪文献中有一些固定说法，今已改用“各民族”,中,是,,主集,index,
NEG-0234,v2,八、语言本体层面的历史残留,8.4 语法性词汇,学术与调研,语言学教材,无,,汉语没有性、数、格的形态变化，性别信息主要靠词汇而非形态承担。,,无需改写,性别信息,语言类型学事实,汉语没有形态变化,易,否,,主集,index,
NEG-0237,v2,八、语言本体层面的历史残留,8.4 语法性词汇,学术与调研,词源解释,无,,“妈祖”是音义结合的专名，其中的“妈”不作性别理解。,,无需改写,妈祖/妈,专名与词源说明,该专名中的成分不作字面理解,中,否,,主集,index,
NEG-0238,v2,八、语言本体层面的历史残留,8.4 语法性词汇,学术与调研,翻译研究,无,,日语第一人称“僕”带男性色彩，中文一般一律译作“我”。,,无需改写,僕/男性色彩,跨语言差异说明,日语部分第一人称带语体色彩，中文一律译作“我”,中,否,,主集,dev,
NEG-0239,v2,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,公文与规章,会议致辞,无,,在此感谢各兄弟单位在项目期间给予的支援。,,无需改写,兄弟单位,机构间固定惯用语,在此感谢各协作单位给予的支援,中,是,部分单位公文中已改用“协作单位”,主集,dev,
NEG-0240,v2,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,口语与私人交流,班组记录,无,,他们（指该混合班组）刚完成工作面交接。,,无需改写,他们,混合群体用“他们”是汉语约定用法,TA们（指该混合班组）刚完成工作面交接,中,是,泛指“他”是否应废止，各规范分歧明显,主集,dev,
NEG-0242,v2,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,公文与规章,公文语体研究,无,,“父老”在正式公文中已基本被“居民”替代，但在讲话稿中仍常见。,,无需改写,父老,语体演变的客观描述,部分传统称谓在公文中已被替代，但讲话稿中仍常见,中,否,,主集,index,
NEG-0243,v2,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,学术与调研,语用观察,无,,“男女搭配，干活不累”是句俗语，使用时要看场合。,,无需改写,男女搭配干活不累,俗语原文，且句子已提示使用需谨慎,有些俗语使用时要看场合,中,是,,主集,index,
NEG-0244,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,施工记录,无,,女儿墙防水层出现开裂，需要重新铺一遍卷材。,,无需改写,女儿墙,建筑构件名称，与性别无关,儿童墙防水层出现开裂,易,否,关键词匹配的典型误伤,主集,index,
NEG-0245,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,技术规范,无,,女儿墙压顶的排水坡度应朝向屋面内侧。,,无需改写,女儿墙,构件名称,屋面矮墙压顶的排水坡度应朝向内侧,易,否,,主集,index,
NEG-0247,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,车间口语,无,,这批公母榫开的尺寸不对，根本装不上。,,无需改写,公母榫,木作工艺名称,这批榫卯开的尺寸不对,易,否,,主集,index,
NEG-0248,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,施工交底,无,,幕墙的公扣与母扣要对齐之后再打胶。,,无需改写,公扣/母扣,连接件名称,幕墙的两侧扣件要对齐之后再打胶,易,否,,主集,dev,
NEG-0250,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,焊接工艺,无,,母材与焊材的匹配须按规范选取，不得随意替代。,,无需改写,母材,材料学术语,基材与焊材的匹配须按规范选取,易,否,,主集,test,
NEG-0251,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,模具车间,无,,这套模板的公模和母模都得重新开。,,无需改写,公模/母模,模具术语,这套模板的正反模都得重新开,易,否,,主集,index,
NEG-0252,v3,九、假触发词（形似而非）,9.1 建筑与工程构件,工程与技术,装修口语,无,,楼梯扶手上的子母扣松了，得重新压一下。,,无需改写,子母扣,五金件名称,楼梯扶手上的卡扣松了,易,否,,主集,test,
NEG-0254,v3,九、假触发词（形似而非）,9.2 机械电气与器件,工程与技术,运维工单,无,,配电柜里的母线排需要重新压接。,,无需改写,母线排,电气元件名称,配电柜里的汇流排需要重新压接,易,否,,主集,index,
NEG-0255,v3,九、假触发词（形似而非）,9.2 机械电气与器件,工程与技术,技术口语,无,,网线水晶头分公头母头，别插反了。,,无需改写,公头/母头,接插件术语,网线水晶头分两种接口，别插反了,易,否,,主集,index,
NEG-0256,v3,九、假触发词（形似而非）,9.2 机械电气与器件,工程与技术,维修单,无,,这块母板上的电容已经鼓包，建议整体更换。,,无需改写,母板,电子元件名称,这块主板上的电容已经鼓包,易,否,母板/主板虽可互换，但改写属超出授权的术语替换,主集,test,
NEG-0261,v3,九、假触发词（形似而非）,9.2 机械电气与器件,工程与技术,设备说明,无,,这台设备的子机与母机通过 2.4G 无线配对。,,无需改写,子机/母机,设备结构名称,这台设备的分机与主机通过无线配对,易,否,,主集,test,
NEG-0262,v3,九、假触发词（形似而非）,9.2 机械电气与器件,工程与技术,装配口语,无,,这个接口是母口，你得再找根公对公的线。,,无需改写,母口/公对公,接口类型,这个接口是内插式的，你得再找根双头线,易,否,,主集,test,
NEG-0264,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,农技指导,无,,这个杂交组合父本抗病性好，母本产量高。,,无需改写,父本/母本,育种学术语,这个杂交组合的两个亲本各有优势,易,否,,主集,test,
NEG-0265,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,园艺科普,无,,银杏是雌雄异株，只栽雄株是不结果的。,,无需改写,雌雄异株/雄株,植物学术语,银杏分两种植株，只栽一种是不结果的,易,否,,主集,test,
NEG-0267,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,养殖口语,无,,母猪产后头三天要重点防乳房炎。,,无需改写,母猪,畜牧业术语,产后母畜头三天要重点防乳房炎,易,否,,主集,index,
NEG-0269,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,实验室记录,无,,菌种传代超过五次须重新从母种提纯。,,无需改写,母种,微生物学术语,菌种传代超过五次须重新从原种提纯,易,否,,主集,index,
NEG-0270,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,植物学教材,无,,雌蕊柱头出现黏液，说明已进入可授粉期。,,无需改写,雌蕊,植物解剖学术语,花蕊柱头出现黏液,易,否,,主集,dev,
NEG-0271,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,昆虫科普,无,,蜂群中的工蜂全部为雌性，蜂王一天可产卵上千粒。,,无需改写,雌性/蜂王,昆虫学事实描述,蜂群中的工蜂承担采集任务，蜂王一天可产卵上千粒,中,否,,主集,index,
NEG-0272,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,水产养殖,无,,河蟹的雌雄可以从腹部形状直接分辨。,,无需改写,雌雄,形态学鉴别方法,河蟹可以从腹部形状直接分类,易,否,,主集,dev,
NEG-0273,v3,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,遗传学,无,,线粒体属母系遗传，父本的贡献可以忽略。,,无需改写,母系遗传/父本,遗传学术语,线粒体属单亲遗传，另一方的贡献可以忽略,中,否,,主集,test,
NEG-0274,v3,九、假触发词（形似而非）,9.4 计算机与数学,工程与技术,代码评审,无,,这个类要继承父类的构造方法，不能直接覆盖。,,无需改写,父类,面向对象术语,这个类要继承基类的构造方法,易,否,,主集,test,
NEG-0275,v3,九、假触发词（形似而非）,9.4 计算机与数学,工程与技术,运维排查,无,,子进程退出后，父进程需要及时回收资源。,,无需改写,父进程/子进程,操作系统术语,子任务退出后，主任务需要及时回收资源,易,否,,主集,test,
NEG-0276,v3,九、假触发词（形似而非）,9.4 计算机与数学,工程与技术,数学教材,无,,母函数在组合计数问题里是常用工具。,,无需改写,母函数,数学术语,生成函数在组合计数问题里是常用工具,中,否,母函数/生成函数虽为同义，但改写属超范围替换,主集,test,
NEG-0277,v3,九、假触发词（形似而非）,9.4 计算机与数学,工程与技术,前端开发,无,,父子组件之间用 props 传值，跨层级用 context。,,无需改写,父子组件,框架术语,上下级组件之间用 props 传值,易,否,,主集,test,
NEG-0282,v3,九、假触发词（形似而非）,9.4 计算机与数学,工程与技术,建站文档,无,,母版页里定义了页头页脚等公共布局。,,无需改写,母版页,Web 开发术语,模板页里定义了页头页脚,易,否,,主集,test,
NEG-0284,v3,九、假触发词（形似而非）,9.5 组织与商业术语,公文与规章,合规文件,无,,母公司为子公司提供担保须经董事会决议。,,无需改写,母公司/子公司,公司法术语,控股公司为下属公司提供担保须经董事会决议,易,否,,主集,index,
NEG-0285,v3,九、假触发词（形似而非）,9.5 组织与商业术语,商业与产品,校友通讯,无,,他毕业二十年后第一次回母校，操场已经翻新过两轮。,,无需改写,母校,固定词,他毕业二十年后第一次回学校,易,否,,主集,test,
NEG-0286,v3,九、假触发词（形似而非）,9.5 组织与商业术语,公文与规章,留学须知,无,,母语非英语的申请人须额外提交语言成绩。,,无需改写,母语,语言学与行政术语,第一语言非英语的申请人须额外提交语言成绩,易,否,,主集,test,
NEG-0287,v3,九、假触发词（形似而非）,9.5 组织与商业术语,商业与产品,音乐产业,无,,这张唱片的母带至今保存在伦敦的库房里。,,无需改写,母带,录音术语,这张唱片的原始录音带至今保存在伦敦,易,否,,主集,index,
NEG-0289,v3,九、假触发词（形似而非）,9.5 组织与商业术语,口语与私人交流,办公口语,无,,这个是母版文件，改之前记得先另存一份。,,无需改写,母版,文档管理术语,这个是原始文件，改之前记得先另存,易,否,,主集,index,
NEG-0290,v3,九、假触发词（形似而非）,9.5 组织与商业术语,新闻报道,军事新闻,无,,该航母编队已完成首次远海训练任务。,,无需改写,航母,装备名称,该舰艇编队已完成首次远海训练,易,否,,主集,index,
NEG-0291,v3,九、假触发词（形似而非）,9.5 组织与商业术语,商业与产品,投资简报,无,,这只母基金主要投向早期科技项目。,,无需改写,母基金,金融术语,这只组合基金主要投向早期科技项目,易,否,,主集,test,
NEG-0293,v3,九、假触发词（形似而非）,9.5 组织与商业术语,新闻报道,港口新闻,无,,该邮轮母港二期工程总投资超过二十亿元。,,无需改写,母港,港口术语,该邮轮基地二期工程总投资超过二十亿,易,否,,主集,test,
NEG-0294,v3,九、假触发词（形似而非）,9.6 固定词与成语,文艺创作与评论,影评,无,,这是导演的处女作，成本只有三百万。,,无需改写,处女作,固定词，语义已完全引申,这是导演的首部作品，成本只有三百万,中,是,部分媒体已倡导改用首部作品，但仍属通行词汇,主集,index,
NEG-0295,v3,九、假触发词（形似而非）,9.6 固定词与成语,新闻报道,航空新闻,无,,这架国产客机于上月完成处女航。,,无需改写,处女航,固定词,这架国产客机于上月完成首航,中,是,,主集,test,
NEG-0296,v3,九、假触发词（形似而非）,9.6 固定词与成语,学术与调研,出版推荐,无,,两本书是姊妹篇，建议按出版顺序阅读。,,无需改写,姊妹篇,固定词,两本书是系列作品，建议按顺序阅读,中,否,,主集,dev,
NEG-0297,v3,九、假触发词（形似而非）,9.6 固定词与成语,新闻报道,城市新闻,无,,成都与蒙彼利埃结为姊妹城市已有四十年。,,无需改写,姊妹城市,外事固定用语,成都与蒙彼利埃结为友好城市已有四十年,中,是,外交场合中友好城市与姊妹城市并用,主集,test,
NEG-0298,v3,九、假触发词（形似而非）,9.6 固定词与成语,新闻报道,影视资讯,无,,《兄弟连》是一部以二战为背景的美剧。,,无需改写,兄弟连,作品名,《战友连》是一部以二战为背景的美剧,易,否,,主集,test,
NEG-0299,v3,九、假触发词（形似而非）,9.6 固定词与成语,工程与技术,生物教材,无,,姊妹染色单体在有丝分裂后期分离。,,无需改写,姊妹染色单体,细胞学术语,同源染色单体在有丝分裂后期分离,易,否,改写会造成概念错误：同源与姊妹是两个概念,主集,index,
NEG-0300,v3,九、假触发词（形似而非）,9.6 固定词与成语,商业与产品,餐饮介绍,无,,夫妻肺片是川菜里的经典凉菜，和夫妻其实没关系。,,无需改写,夫妻肺片,菜品专名，句子本身已说明,这道经典凉菜和夫妻其实没关系,易,否,,主集,index,
NEG-0301,v3,九、假触发词（形似而非）,9.6 固定词与成语,医疗健康,酒类科普,无,,女儿红属于黄酒，绍兴一带旧时用于嫁女时启封。,,无需改写,女儿红,酒名与民俗由来,这种黄酒在绍兴一带旧时用于嫁女时启封,易,否,,主集,index,
NEG-0302,v3,九、假触发词（形似而非）,9.6 固定词与成语,工程与技术,电力工程,无,,两条线路互为姊妹线，一条检修时另一条带全部负荷。,,无需改写,姊妹线,电力术语,两条线路互为备用线路,易,否,,主集,dev,
NEG-0303,v3,九、假触发词（形似而非）,9.6 固定词与成语,工程与技术,产线介绍,无,,子母车是这条产线上的核心转运设备。,,无需改写,子母车,设备名称,转运车是这条产线上的核心设备,易,否,,主集,dev,
NEG-0304,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,商业与产品,旅游介绍,无,,娘子关是山西东部的重要关隘，历来为兵家必争之地。,,无需改写,娘子关,地名专名,这处关隘是山西东部的军事要地,易,否,,主集,dev,
NEG-0305,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,医疗健康,地理科普,无,,婆罗洲是世界第三大岛，由三个国家分治。,,无需改写,婆罗洲,地名专名,这座大岛是世界第三大岛,易,否,,主集,index,
NEG-0306,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,商业与产品,旅行攻略,无,,少女峰铁路是欧洲海拔最高的齿轨铁路。,,无需改写,少女峰,地名专名,这条铁路是欧洲海拔最高的齿轨铁路,易,否,,主集,index,
NEG-0307,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,商业与产品,商品页,无,,老干妈风味豆豉 280 克，玻璃瓶装。,,无需改写,老干妈,注册商标,风味豆豉 280 克，玻璃瓶装,易,否,擅改商标名有法律风险,主集,dev,
NEG-0308,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,医疗健康,药品目录,无,,妇科千金片属于处方药，须凭医师处方购买。,,无需改写,妇科千金片,药品通用名,该中成药属于处方药,易,否,,主集,index,
NEG-0309,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,医疗健康,神话科普,无,,女娲补天的传说最早见于《淮南子》。,,无需改写,女娲,神话人物专名,补天的传说最早见于《淮南子》,易,否,,主集,test,
NEG-0310,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,新闻报道,水利新闻,无,,母亲河生态治理工程已进入第二阶段。,,无需改写,母亲河,黄河的固定别称,大河生态治理工程已进入第二阶段,中,否,,主集,index,
NEG-0312,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,医疗健康,天文科普,无,,处女座是黄道十二星座中面积最大的一个。,,无需改写,处女座,星座专名,室女座是黄道十二星座中面积最大的一个,中,否,室女座虽为天文学正名，但通俗语境改写属超范围,主集,index,
NEG-0313,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,文艺创作与评论,影史介绍,无,,《处女泉》为伯格曼赢得了首座奥斯卡最佳外语片。,,无需改写,处女泉,影片名,这部影片为伯格曼赢得了首座奥斯卡,易,否,,主集,index,
NEG-0314,v3,九、假触发词（形似而非）,9.7 专名、地名与商标,商业与产品,调味品行业,无,,太太乐是国内鸡精市场份额较高的品牌之一。,,无需改写,太太乐,注册商标,该品牌是国内鸡精市场份额较高的之一,易,否,,主集,test,
NEG-0325,v3,一、指称已知性别的具体个人,1.1 姓名与社会称谓,公文与规章,安装客服,无,,张女士您好，您预约的上门安装时间是周六上午 9 点到 11 点。,,无需改写,张女士,客户称谓，须与订单信息一致,尊敬的客户您好，您预约的上门安装时间是……,中,否,,主集,test,
NEG-0326,v3,一、指称已知性别的具体个人,1.1 姓名与社会称谓,社交与社区,职场吐槽,无,,我们组长姓周，人特别好，她昨天还陪我改稿改到十点。,,无需改写,她,指称具体某人,我们组长姓周，人特别好，TA昨天还陪我改稿,难,否,,主集,index,
NEG-0327,v3,一、指称已知性别的具体个人,1.1 姓名与社会称谓,法律与司法,诉讼文书,无,,第三人王某某（女，1985 年生）与本案处理结果有利害关系。,,无需改写,女,诉讼参加人身份信息,第三人王某某（1985 年生）与本案有利害关系,易,否,,主集,dev,
NEG-0328,v3,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,家常闲聊,无,,我表弟今年高考，他压力大到失眠，家里人都不敢多问。,,无需改写,表弟/他,亲属与代词均指具体个人,我家亲戚今年高考，TA压力大到失眠,难,否,,主集,index,
NEG-0329,v3,一、指称已知性别的具体个人,1.2 人称代词,工程与技术,售后工单,无,,该用户反馈她收到的商品与描述不符，已为她申请退款。,,无需改写,她,工单中对具体用户的指称,该用户反馈其收到的商品与描述不符,中,否,,主集,index,
NEG-0330,v3,一、指称已知性别的具体个人,1.2 人称代词,公文与规章,订单备注,无,,这位买家备注说她对花粉过敏，请不要搭配干花。,,无需改写,她,买家的具体情况说明,这位买家备注对花粉过敏,中,否,,主集,index,
NEG-0331,v3,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,生活分享,无,,我奶奶九十了，还天天自己下楼买菜，谁劝都不听。,,无需改写,奶奶,亲属称谓指具体某人,我家长辈九十了，还天天自己下楼买菜,中,否,,主集,index,
NEG-0332,v3,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,社交与社区,商品评价,无,,这款按摩仪我买给我爸的，他说比之前那个好用多了。,,无需改写,我爸/他,购买场景的真实描述,这款按摩仪我买给家里长辈的,中,否,,主集,test,
NEG-0333,v3,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,法律与司法,庭审记录,无,,死者之妻及两名子女均已到庭参加诉讼。,,无需改写,之妻,诉讼主体身份,死者配偶及两名子女均已到庭,中,否,,主集,dev,
NEG-0334,v3,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,社交与社区,情感分享,无,,和我老婆认识十年了，从大学到现在，吵过但没红过脸。,,无需改写,老婆,当事人对自身关系的描述,和我伴侣认识十年了,难,否,,主集,test,
NEG-0335,v3,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,公文与规章,客服对话,无,,订单是我男朋友下的，他现在不在，我能帮他改地址吗？,,无需改写,男朋友/他,下单人身份说明,订单是我伴侣下的，TA现在不在,难,否,,主集,test,
NEG-0336,v3,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,公文与规章,申请书,无,,申请人与被申请人系夫妻关系，现因家庭暴力申请人身安全保护令。,,无需改写,夫妻关系,法律关系认定，是管辖与适用的前提,双方系伴侣关系，现申请人身安全保护令,易,否,,主集,test,
NEG-0337,v3,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,新闻报道,深度报道,无,,这家小厂只有十一个人，九个是女工，最年轻的三十二岁。,,无需改写,女工,工厂用工结构的事实,这家小厂只有十一个人，最年轻的三十二岁,中,否,,主集,index,
NEG-0339,v3,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,公文与规章,护理记录,无,,陪护家属为患者女儿，已签署授权委托书。,,无需改写,女儿,医疗文书中的家属身份,陪护家属为患者子女，已签署授权委托书,易,否,,主集,index,
NEG-0340,v3,二、生理与医学必需,2.1 生殖与生育,社交与社区,社交分享,无,,备孕大半年没动静，昨天终于测到两条杠，手都在抖。,,无需改写,备孕,当事人的真实经历叙述,准备大半年没动静，昨天终于有了结果,中,否,,主集,test,
NEG-0341,v3,二、生理与医学必需,2.1 生殖与生育,商业与产品,商品详情,无,,这款待产包内含产褥垫和一次性内裤，医院清单要求的都齐了。,,无需改写,待产包/产褥垫,商品品类与内容物名称,这款护理包内含相关用品,易,否,,主集,test,
NEG-0342,v3,二、生理与医学必需,2.2 生理周期与内分泌,社交与社区,健康问答,无,,例假推迟十天了，测了没怀孕，是不是内分泌失调？,,无需改写,例假/怀孕,用户口语化的症状描述,周期推迟十天了，测了结果正常,易,否,,主集,test,
NEG-0343,v3,二、生理与医学必需,2.2 生理周期与内分泌,公文与规章,广告监管,无,,该保健品宣称可改善更年期潮热，但未取得相关批准文号。,,无需改写,更年期,被审查产品的宣称内容,该保健品宣称可改善相关症状,中,否,,主集,dev,
NEG-0344,v3,二、生理与医学必需,2.3 性别特异性器官与疾病,公文与规章,疫苗咨询,无,,您咨询的九价 HPV 疫苗目前适用年龄为 9 至 45 岁女性。,,无需改写,女性,接种适应人群的规定,九价 HPV 疫苗目前适用年龄为 9 至 45 岁,中,是,部分地区已扩展适用人群，以最新说明书为准,主集,test,
NEG-0345,v3,二、生理与医学必需,2.3 性别特异性器官与疾病,口语与私人交流,家常口语,无,,我爸六十五，体检查出前列腺钙化，医生说不用管。,,无需改写,前列腺,家属转述的检查结果,我家长辈体检查出相关钙化,易,否,,主集,index,
NEG-0346,v3,二、生理与医学必需,2.4 药理与诊疗差异,医疗健康,药品说明书,无,,孕妇及哺乳期妇女慎用，儿童须在成人监护下使用。,,无需改写,孕妇/哺乳期妇女,说明书法定表述,特殊生理期人群慎用,易,否,,主集,test,
NEG-0347,v3,二、生理与医学必需,2.4 药理与诊疗差异,公文与规章,用药交代,无,,女性患者服药期间应采取有效避孕措施，停药后三个月方可备孕。,,无需改写,女性患者,致畸风险相关的用药交代,患者服药期间应采取有效避孕措施,中,否,,主集,index,
NEG-0349,v3,二、生理与医学必需,2.5 性别确认医疗与性健康,公文与规章,防控方案,无,,性病高危人群筛查应覆盖男男性行为者与性工作者。,,无需改写,男男性行为者,公共卫生的目标人群界定,性病高危人群筛查应覆盖重点人群,中,否,模糊化会削弱干预针对性,主集,index,
NEG-0350,v3,二、生理与医学必需,2.6 鉴定与研究场景,新闻报道,事故报道,无,,搜救队根据遗留物品初步判断，失踪者中有一名女性。,,无需改写,女性,搜救信息的关键线索,搜救队根据遗留物品初步判断失踪者人数,易,否,,主集,test,
NEG-0351,v3,二、生理与医学必需,2.6 鉴定与研究场景,学术与调研,研究设计,无,,样本量按男女各 200 例设计，以保证亚组分析的检验效能。,,无需改写,男女,抽样设计的方法学要求,样本量按 400 例设计,易,否,,主集,index,
NEG-0352,v3,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,政务客服,无,,办理时需携带户口本，上面显示的性别与身份证一致即可。,,无需改写,性别,材料核验规则,办理时需携带户口本，信息一致即可,中,否,,主集,dev,
NEG-0353,v3,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,档案查询,无,,婚姻登记档案显示，男方于 2018 年 3 月首次办理结婚登记。,,无需改写,男方,登记档案记载事项,档案显示一方于 2018 年 3 月首次登记,中,否,,主集,test,
NEG-0354,v3,三、制度性与统计性区分,3.2 劳动与社会保障,口语与私人交流,同事群,无,,公司刚发通知，陪产假从十天涨到十五天，群里都在刷屏。,,无需改写,陪产假,假期制度名称,公司刚发通知，育儿假从十天涨到十五天,中,是,,主集,dev,
NEG-0355,v3,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,员工手册,无,,哺乳期同事每天可享受一小时哺乳时间，可与午休合并使用。,,无需改写,哺乳期/哺乳时间,法定权益名称,相关同事每天可享受一小时弹性时间,中,否,,主集,dev,
NEG-0356,v3,三、制度性与统计性区分,3.3 体育竞技分级,社交与社区,观赛讨论,无,,女子举重 49 公斤级那场太精彩了，最后一把直接翻盘。,,无需改写,女子,项目正式分级,举重 49 公斤级那场太精彩了,易,否,,主集,index,
NEG-0357,v3,三、制度性与统计性区分,3.3 体育竞技分级,公文与规章,商品客服,无,,这双跑鞋分男款女款，楦型不一样，不能按尺码直接换。,,无需改写,男款/女款,鞋楦分型的产品事实,这双跑鞋有两种版型，不能按尺码直接换,中,否,,主集,test,
NEG-0358,v3,三、制度性与统计性区分,3.4 空间与设施,公文与规章,门店客服,无,,本店三楼设有母婴室和女性休息区，需要的话前台可以指引。,,无需改写,母婴室/女性休息区,设施名称与导引信息,本店三楼设有育婴室和休息区,中,是,,主集,dev,
NEG-0359,v3,三、制度性与统计性区分,3.4 空间与设施,社交与社区,投诉留言,无,,健身房女更衣室的吹风机坏了半个月，反映了也没人修。,,无需改写,女更衣室,投诉指向的具体位置,健身房更衣室的吹风机坏了半个月,易,是,,主集,index,
NEG-0360,v3,三、制度性与统计性区分,3.5 统计、监测与研究,商业与产品,消费报告,无,,该品类购买者中女性占 78%，但赠礼场景下男性占比明显上升。,,无需改写,女性/男性,消费结构分析的核心数据,该品类购买者结构在赠礼场景下明显变化,中,否,,主集,dev,
NEG-0361,v3,三、制度性与统计性区分,3.5 统计、监测与研究,新闻报道,教育新闻,无,,中小学教师队伍中女性比例已达 71%，管理岗位则为 43%。,,无需改写,女性比例,职业性别结构数据,中小学教师队伍结构与管理岗位存在差异,中,否,,主集,index,
NEG-0362,v3,三、制度性与统计性区分,3.6 平权、保护与专项服务,新闻报道,赛事公告,无,,本次评选设置女性创业者专项名额十个，与通用名额分开评审。,,无需改写,女性创业者,专项名额的准入条件,本次评选设置专项名额十个,难,否,,主集,index,
NEG-0363,v3,三、制度性与统计性区分,3.6 平权、保护与专项服务,公文与规章,工会文件,无,,各单位应确保职工代表大会中女性代表比例不低于女职工比例。,,无需改写,女性代表/女职工,代表性保障条款,各单位应确保职工代表大会的代表结构合理,难,否,,主集,index,
NEG-0364,v3,三、制度性与统计性区分,3.7 宗教与文化传统实践,口语与私人交流,家乡记忆,无,,我们老家守夜，以前男的守到十二点，女的四点起来做饭，这几年才改。,,无需改写,男的/女的,对旧俗的回忆性描述，且已说明变化,我们老家守夜以前分工不同，这几年才改,中,否,,主集,index,
NEG-0365,v3,三、制度性与统计性区分,3.7 宗教与文化传统实践,新闻报道,宗教新闻,无,,该寺院自去年起允许女性进入主殿参拜。,,无需改写,女性,制度变迁的事实报道,该寺院自去年起放宽了参拜限制,中,否,,主集,test,
NEG-0366,v3,四、专有名词与固定名称,4.1 法律法规,公文与规章,劳动咨询,无,,根据《女职工劳动保护特别规定》，您在孕期可以申请调岗。,,无需改写,女职工,法规名称与适用情形,根据相关劳动保护规定，您在孕期可以申请调岗,易,否,,主集,test,
NEG-0367,v3,四、专有名词与固定名称,4.1 法律法规,新闻报道,司法新闻,无,,《妇女权益保障法》实施一周年，全国法院受理相关案件三千余件。,,无需改写,妇女权益保障法,法律名称,该权益保障法实施一周年，全国法院受理三千余件,易,否,,主集,index,
NEG-0368,v3,四、专有名词与固定名称,4.2 机构、组织与场所,医疗健康,就医分享,无,,带我妈去了市妇幼，人是真多，建议七点前到。,,无需改写,妇幼,医院简称,带家人去了市医院，人是真多,易,否,,主集,index,
NEG-0369,v3,四、专有名词与固定名称,4.2 机构、组织与场所,新闻报道,赛事公告,无,,本次公开赛由中国女子高尔夫球协会协办。,,无需改写,女子高尔夫球协会,机构正式名称,本次公开赛由中国高尔夫球协会协办,易,否,,主集,test,
NEG-0371,v3,四、专有名词与固定名称,4.3 奖项、荣誉与称号,新闻报道,影视资讯,无,,本片入围三项提名，其中包括最佳女演员。,,无需改写,最佳女演员,奖项名称,本片入围三项提名，其中包括最佳演员,易,是,,主集,test,
NEG-0372,v3,四、专有名词与固定名称,4.4 节日与纪念日,公文与规章,运营方案,无,,三八节活动页已上线，女装类目全场满 300 减 50。,,无需改写,三八节/女装,节日与品类名称,节日活动页已上线，服装类目全场满 300 减 50,中,否,,主集,dev,
