编号,来源版本,L1类别,L2子类,载体形式,指向性别,叠加类别,语体大类,语体,噪声类型,文本长度,输入句子,参考改写,期望标签,问题触发词,问题说明,可接受的其他改法,欠改陷阱（改了但没改到位）,过改陷阱（矫枉过正）,必须保留的信息,严重度,难度,是否争议,备注,处置,切分,处置理由
POS-0105,v3,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,常规句,双向,,文艺创作与评论,书评,无,中,女作家笔触细腻，男作家格局宏大，这是两种不可替代的天赋。,有的作品胜在笔触细腻，有的胜在格局宏大，这是两种不可替代的长处。,需改写,女作家细腻／男作家宏大,把写作风格按性别分派，构成双向本质化。,“细腻与宏大是两种不同的写作路径”,只删“女”保留“男作家格局宏大”,把“不可替代”改掉，削弱原句判断,细腻与宏大两种风格的并置、不可替代的评价,应改,中,否,兼涉 3.7,主集,index,
POS-0106,v3,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,成语俗谚,双向,,社交与社区,朋友圈,无,中,三个女人一台戏，我们办公室天天不消停。,我们办公室人多嘴杂，天天不消停。,需改写,三个女人一台戏,把喧闹归因于女性人数。,“办公室氛围一直挺热闹”,改成“几个女同事一台戏”,把“天天不消停”删掉，丢失原句的抱怨语气,办公室嘈杂这一描述、抱怨口吻,必改,易,否,,主集,index,
POS-0107,v3,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,成语俗谚,指向女性,,文艺创作与评论,书评,无,中,作者对乱局的处理颇有妇人之仁，该断的地方总是不断。,作者对乱局的处理失之心软，该断的地方总是不断。,需改写,妇人之仁,以女性为软弱的代名词。,“处理偏于宽仁，缺少决断”,只删“妇人”，留下“之仁”不成词,把“该断的地方总是不断”删掉，丢失评价依据,心软、缺乏决断这一评价,必改,中,否,,主集,index,
POS-0108,v3,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,常规句,指向男性,,社交与社区,知乎回答,无,中,男人天生就不擅长处理情绪，这是进化留下的。,把情绪处理能力说成性别天赋并没有依据，它更多取决于个人经历与练习。,需改写,男人天生就不擅长,以进化论包装的性别本质化。,直接删除该论断,只删“天生”，保留“男人不擅长处理情绪”,把情绪处理这一话题整体删掉,围绕情绪处理能力的讨论,必改,中,否,反向本质化,主集,dev,
POS-0109,v3,三、属性绑定（陈述性：把特质归于性别）,3.1 性格与心理特质的本质化,成语俗谚,指向女性,,口语与私人交流,市井闲谈,方言,中,女人家的心思你猜不透，别费那劲了。,她怎么想的你猜不透，别费那劲了。,需改写,女人家的心思,把不可捉摸归为女性群体属性。,“她的想法你未必猜得准”,只删“家的”，仍为群体归因,把方言口吻改成书面语,猜不透对方想法、劝其别费劲、口语语感,必改,中,否,保留方言,主集,index,
POS-0110,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,指向女性,,口语与私人交流,课后谈话,无,中,女生学不好高数很正常，你别太有压力。,高数确实难，很多人第一遍都听不懂，你别太有压力。,需改写,女生学不好高数,以性别解释学业困难，属能力贬低。,“这门课普遍反映难，慢慢来”,改成“女生学高数吃力是普遍现象”,把安慰的部分一并删掉，丢失原句意图,安慰意图、减压表达,必改,易,否,,主集,test,
POS-0111,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,指向女性,,社交与社区,车友论坛,无,中,前面那车倒了三回都没进库，八成是个女司机。,前面那车倒了三回都没进库，估计是新手。,需改写,女司机,“女司机”是典型能力污名标签。,“看着像刚拿本的”,改成“女性司机”,把“倒了三回”改掉，丢失观察细节,倒三回未进库的事实,必改,易,否,高频网络标签,主集,test,
POS-0112,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,指向男性,,口语与私人交流,家庭对话,无,中,孩子还是我带吧，你一个大男人哪会照顾娃。,孩子还是我带吧，你还没上手，等熟悉了再换。,需改写,大男人哪会照顾娃,反向能力预设，把照护能力排除在男性之外。,“你先跟着学两天，之后我们轮换”,改成“男人一般不太会带娃”,把“孩子还是我带吧”删掉，丢失原句安排,由说话人先带孩子的安排,必改,中,否,反向刻板印象,主集,dev,
POS-0113,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,双向,,工程与技术,项目群消息,无,中,这活儿得跑机房扛设备，女的哪扛得住，还是让男同事来。,这活儿要跑机房扛设备，需要能搬重物的同事来，谁方便报个名。,需改写,女的哪扛得住,以性别否定体力与抗压能力。,“需要搬重物，有空的同事认领一下”,改成“女同事量力而行”,把“跑机房扛设备”删掉，丢失任务内容,跑机房、扛设备的任务实质,必改,易,否,,主集,index,
POS-0115,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,指向女性,,社交与社区,短视频弹幕,错别字,中,这女生员开车真是没法看，倒了半天,这驾驶员开车真是没法看，倒了半天,需改写,女生员（“女司机”的错字变体）,错别字掩盖了触发词，考察模型是否依赖精确匹配。,“这司机倒车不太熟练”,照抄原文不改，视为无问题,顺手修正错别字之外还改写整句语气,倒车不熟练这一观察、口语弹幕语体,必改,难,否,错别字噪声,主集,index,
POS-0116,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,指向女性,,社交与社区,繁体社群,繁体,中,女司機開車就是慢，後面排一長串。,駕駛員開車偏慢，後面排一長串。,需改写,女司機,繁体书写下的同一标签。,“前車速度較慢，後方排隊”,照抄原文不改,把繁体转成简体，改变原文字形,开车慢、后方排队的事实、繁体字形,必改,中,否,繁体噪声,主集,dev,
POS-0117,v3,三、属性绑定（陈述性：把特质归于性别）,3.2 能力与胜任力预设,常规句,指向女性,,口语与私人交流,语音转写,ASR 转写,中,她一个女的能懂什么车 你别问她 问我,她也可以给你讲车 不过我更熟一些 你问我吧,需改写,一个女的能懂什么,ASR 转写缺标点，触发词被切分在长串中。,“这方面我了解得多些，问我吧”,照抄原文不改,补全标点并改写为规范书面语，改变转写体裁,由说话人来解答的意愿、转写体裁的无标点特征,必改,难,否,ASR 转写噪声,主集,test,
POS-0118,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,常规句,双向,3.3 ＋ 3.2,公文与规章,会议安排,无,中,会议纪要就让小姑娘来记吧，男同志帮忙把桌子搬一下。,会议纪要今天由小周负责，搬桌子的辛苦大家搭把手。,需改写,小姑娘记纪要／男同志搬桌子,按性别分派脑力与体力任务，双重刻板。,“纪要按值日轮到谁就谁记，桌子大家一起搬”,只改前半句，保留“男同志搬桌子”,把搬桌子这项工作删掉，丢失实际安排,记纪要与搬桌子两项任务,必改,易,否,双触发点,主集,test,
POS-0119,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,常规句,指向女性,,公文与规章,内部访谈记录,无,中,倒水拿快递这些杂事，一般还是女同事顺手做了。,倒水拿快递这些杂事，目前按值日表轮流负责。,需改写,女同事顺手做了,默认事务性劳动由女性承担，属隐形劳动分配问题。,“这些杂事此前无人明确负责，现改为轮值”,改成“女同事比较主动”,把“倒水拿快递”改成“杂事”，丢失具体内容,倒水、拿快递的具体事务,应改,中,否,,主集,index,
POS-0120,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,常规句,双向,,口语与私人交流,家庭聚会,无,中,男的坐着聊，女的进厨房搭把手，年年都这样。,开饭前大家分个工，谁得空谁进厨房搭把手。,需改写,男的坐着女的进厨房,家庭场合的性别分工描述若为叙述者主张则应改。,“今年我们轮流做饭，谁都别闲着”,只删“年年都这样”，分工描述未动,把“年年都这样”改成褒扬语气，反向强化,开饭前分工、厨房需要帮手,必改,中,是,若为客观记录家庭现状且带批判意味，属引述，不改,主集,dev,
POS-0121,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,常规句,双向,,公文与规章,值班安排,无,中,前台轮值以女员工为主，男员工主要负责搬运与外勤。,前台轮值与搬运外勤均按排班表轮换，特殊情况可申请调整。,需改写,以女员工为主／男员工负责搬运,按性别固化岗位轮值。,“各岗位统一按排班轮换”,只加一句“男员工也可参与前台”,把外勤这项工作删掉，丢失实际任务,前台轮值、搬运、外勤三项工作,应改,中,否,,主集,index,
POS-0122,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,成语俗谚,双向,,商业与产品,婚介文案,无,中,男怕入错行，女怕嫁错郎，选对人生赛道很重要。,职业选择与伴侣选择都影响长远，值得慎重对待。,需改写,男怕入错行女怕嫁错郎,把事业归男性、婚姻归女性，构成分工式俗谚。,“事业与婚姻的选择都需慎重”,只删后半句，前半句仍构成分工暗示,把文案的招揽意图删掉,职业与婚姻两项选择都重要,应改,中,否,,主集,dev,
POS-0123,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,常规句,双向,,公文与规章,家委会分工表,结构化文本,中,后勤组（女）：茶水、卫生、签到｜安保组（男）：搬运、秩序、停车,后勤组：茶水、卫生、签到｜安保组：搬运、秩序、停车（两组均自愿报名）,需改写,后勤组（女）／安保组（男）,分工表在制度层面把两类劳动锁定给不同性别。,去掉性别标注，改为自愿报名或轮换,只在表后加一句“不限性别”，标注仍在,把两组的具体职责删掉，丢失分工内容,后勤三项与安保三项职责、分两组,应改,中,否,,主集,dev,
POS-0124,v3,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,成语俗谚,双向,,文艺创作与评论,公众号文章,无,中,男主外女主内是几千年沉淀下来的智慧，不必强行改变。,家庭内外的分工可以按各自的意愿与条件协商，没有固定模板。,需改写,男主外女主内／智慧,以传统之名为分工绑定背书。,直接删除该论断,只删“智慧”，保留“男主外女主内”,把家庭分工这一话题整体回避,关于家庭内外分工的讨论,必改,中,否,,主集,index,
POS-0125,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,双向,,商业与产品,导购话术,无,中,粉色这款是给女孩子的，男孩一般都选蓝色那个。,这两个颜色都有，看孩子自己喜欢哪个。,需改写,粉色给女孩／蓝色给男孩,把颜色与性别绑定。,“颜色可以让孩子自己挑”,改成“粉色女孩子选得多一些”,把“两个颜色”改成“很多颜色”，与实情不符,两款颜色的存在、由孩子选择,应改,易,否,,主集,index,
POS-0126,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,指向男性,,口语与私人交流,家庭对话,无,中,你一个大男人化什么妆，看着别扭。,你今天这个妆挺提气色的。,需改写,大男人化什么妆,以性别否定个人外表选择，属反向刻板。,“这个妆是自己弄的吗，挺好看”,只删“大男人”，保留“看着别扭”,凭空补充夸奖内容与事实不符,对妆容的评价这一话题,必改,中,否,,主集,index,
POS-0127,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,双向,,社交与社区,游戏社区,无,中,这游戏本来就是给男的玩的，你一个女生凑什么热闹。,这游戏上手门槛不低，感兴趣的话我可以带你几局。,需改写,给男的玩／女生凑什么热闹,以性别排斥参与，属排他性言论。,“想玩就一起，缺人的时候喊我”,只删后半句，保留“给男的玩的”,凭空承诺带练，改变原句立场,游戏难度或参与讨论这一话题,必改,易,否,,主集,index,
POS-0128,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,双向,,商业与产品,玩具文案,无,中,男孩的第一台工程车，女孩的第一个洋娃娃，各得其所。,孩子的第一台工程车，孩子的第一个洋娃娃，随他挑选。,需改写,男孩的／女孩的,把玩具类型与性别一一对应。,“工程车与洋娃娃，孩子喜欢哪个都好”,改成“男孩女孩都能玩的工程车”,把两种玩具删成一种，丢失产品线信息,工程车与洋娃娃两款产品,应改,中,否,,主集,index,
POS-0129,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,指向男性,,口语与私人交流,亲子对话,无,中,男孩子玩什么娃娃，去跟哥哥踢球去。,想玩娃娃就玩，等会儿要不要跟哥哥去踢球？,需改写,男孩子玩什么娃娃,以性别否定儿童的玩具选择。,“娃娃和足球都可以玩，你想玩哪个”,只删“男孩子”，保留否定语气,把踢球这一提议删掉，丢失原句安排,玩娃娃与踢球两个选项,必改,易,否,反向刻板,主集,test,
POS-0130,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,指向女性,,商业与产品,汽车销售话术,无,中,女士看车主要还是看颜值，性能这块您不用太操心。,这款的外观和动力参数我都给您说说，您看重哪块我们细聊。,需改写,女士看颜值／不用操心性能,以性别预判购车关注点，并暗示女性不懂性能。,“外观和性能我都介绍一下，您有偏好告诉我”,只删“女士”，保留“不用太操心性能”,把外观与性能两方面的介绍删掉,外观与性能都需介绍、由顾客决定重点,必改,中,否,,主集,test,
POS-0131,v3,三、属性绑定（陈述性：把特质归于性别）,3.4 兴趣、物品与色彩的性别化,常规句,指向男性,,社交与社区,弹幕,网络用语,短,男的看这种恋爱番？绷不住了,看恋爱番挺正常的，各有各的口味,需改写,男的看这种恋爱番,以性别嘲讽内容偏好。,“口味不同而已”,只删“绷不住了”，前半句保留,把弹幕的口语语体改成书面语,对观看恋爱番这一行为的讨论、弹幕语体,必改,易,否,短句样本,主集,index,
POS-0132,v3,三、属性绑定（陈述性：把特质归于性别）,3.5 外貌与身体标准的性别化,常规句,指向女性,,口语与私人交流,家庭对话,无,中,女孩子还是白一点好看，你少晒点太阳。,出门记得涂防晒，晒太久皮肤容易受伤。,需改写,女孩子还是白一点好看,把审美规范加于性别，改为健康建议更妥。,“夏天紫外线强，注意防晒”,只删“女孩子”，保留“白一点好看”,把防晒建议也删掉，丢失关心的意图,关心对方、与晒太阳相关的提醒,必改,中,否,,主集,test,
POS-0137,v3,三、属性绑定（陈述性：把特质归于性别）,3.5 外貌与身体标准的性别化,常规句,指向男性,,社交与社区,健身论坛,无,中,男的练腿才叫练，只练上半身的都是花架子。,只练上半身容易造成力量失衡，腿部训练同样重要。,需改写,男的练腿才叫练,以性别界定训练的正当性。,“下肢训练不能省，否则容易失衡”,只删“男的”，保留“花架子”这一贬语,把腿部训练的重要性删掉，丢失建议,腿部训练重要、上下肢应均衡,应改,中,否,反向刻板,主集,dev,
POS-0138,v3,三、属性绑定（陈述性：把特质归于性别）,3.5 外貌与身体标准的性别化,常规句,指向女性,,文艺创作与评论,选秀节目点评,无,中,作为女歌手，她的形象管理还需要加强。,她的舞台表现力还有提升空间，可以在肢体语言上多下功夫。,需改写,作为女歌手／形象管理,以性别为由把评价重心从演唱转向外形。,“唱功已经不错，舞台呈现可以再打磨”,只删“作为女歌手”，保留形象管理的评价,凭空断言其唱功水平，超出原句,这是一条对该选手的改进建议,应改,中,否,,主集,index,
POS-0139,v3,三、属性绑定（陈述性：把特质归于性别）,3.6 情绪表达与生理归因,常规句,指向女性,,口语与私人交流,办公室闲聊,无,中,她今天火气怎么这么大，是不是大姨妈来了。,她今天情绪不太好，要不要问问是不是遇上什么事了。,需改写,是不是大姨妈来了,把女性情绪归因于生理周期。,“她好像心情不好，我们别添乱”,只删“大姨妈”，保留“女人就是情绪化”,把关心的部分也删掉，只剩描述,她今天情绪不佳的观察,必改,易,否,,主集,dev,
POS-0141,v3,三、属性绑定（陈述性：把特质归于性别）,3.6 情绪表达与生理归因,常规句,指向女性,,公文与规章,会议复盘,无,中,她在会上哭了，果然女人还是感性，扛不住压力。,她在会上情绪激动，当时的压力确实不小。,需改写,果然女人还是感性,把个体的一次情绪反应上升为女性群体的特征。,“她当时情绪上来了，这个议题压力大”,只删“果然”，归因结构未变,把她情绪激动这一事实删掉，丢失复盘内容,她在会上情绪失控这一事实、当时存在压力,必改,中,否,,主集,index,
POS-0142,v3,三、属性绑定（陈述性：把特质归于性别）,3.6 情绪表达与生理归因,常规句,指向男性,,社交与社区,评论区,无,中,男的哭起来最让人看不起，情绪管理太差了。,把哭泣等同于情绪管理差并不成立，情绪外露与自控能力是两回事。,需改写,男的哭起来最让人看不起,以性别为前提对情绪表达作贬抑评价。,直接删除该评价,只删“男的”，保留“哭起来让人看不起”,把情绪管理这一话题整体删掉,围绕哭泣与情绪管理的讨论,必改,中,否,反向情绪规范,主集,index,
POS-0143,v3,三、属性绑定（陈述性：把特质归于性别）,3.6 情绪表达与生理归因,常规句,指向女性,,公文与规章,面试评价表,无,中,该候选人面试时情绪外露，女性在压力面下通常如此，不必苛责。,该候选人在压力面中情绪波动较明显，可结合其他环节综合评估。,需改写,女性在压力面下通常如此,以群体归因解释个体表现，看似宽容实为贬低。,“情绪反应较明显，建议结合其他环节判断”,只删“不必苛责”，归因未变,把候选人的表现观察删掉，丢失评价内容,该候选人情绪外露这一观察、需综合评估,必改,中,否,,主集,test,
POS-0144,v3,三、属性绑定（陈述性：把特质归于性别）,3.6 情绪表达与生理归因,常规句,指向男性,,医疗健康,科普问答,无,中,男的一般不会得抑郁症，那多半是压力大想太多。,男性同样会罹患抑郁症，且因求助率低更容易被忽视。,需改写,男的一般不会得抑郁症,医学事实错误＋以性别否定情绪困扰的真实性。,“抑郁症不分性别，男性发病常被低估”,只删“想太多”，前半句错误保留,把抑郁症这一话题整体删掉,抑郁症这一疾病、男性亦会罹患,必改,中,否,含医学事实错误,主集,index,
POS-0147,v3,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,常规句,指向男性,,社交与社区,情感话题贴,无,中,男方没房没车，这婚事怎么谈得下去。,两个人的住房和经济安排还需要一起商量。,需改写,男方没房没车,将置产责任单方面归于男性，属反向刻板。,“婚前把经济问题谈清楚比较稳妥”,只删“男方”，保留“没房没车怎么谈”,把婚事这一话题一并改掉,婚事推进中的经济因素,应改,中,是,婚俗现实与观念评价的边界有分歧,主集,test,
POS-0148,v3,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,常规句,双向,,文艺创作与评论,相亲节目字幕,无,中,男嘉宾看重外形，女嘉宾看重经济条件，这是人之常情。,择偶偏好因人而异，两位嘉宾的关注点不同。,需改写,男看外形／女看经济,把择偶标准按性别分派。,“两位嘉宾各有侧重，我们听听具体原因”,只删“人之常情”,把嘉宾的偏好内容全删，丢失节目信息,两位嘉宾存在不同择偶关注点,应改,中,否,,主集,test,
POS-0149,v3,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,成语俗谚,双向,,口语与私人交流,长辈劝婚,无,中,女大三抱金砖，男的还是得比女的大几岁才稳当。,年龄差多少都有过得好的，关键看两人合不合适。,需改写,女大三／男的得比女的大,把年龄结构与婚姻稳定性绑定。,“年龄不是关键，性格合得来最要紧”,只删“女大三抱金砖”,把劝解的立场删掉，只剩描述,对年龄差的看法这一话题,应改,中,否,,主集,test,
POS-0150,v3,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,成语俗谚,双向,,文艺创作与评论,婚礼致辞,无,中,两位郎才女貌，站在一起特别般配。,两位站在一起特别般配，让人打心底里高兴。,需改写,郎才女貌,男重才、女重貌的评价分工。,“两位很登对，看着就般配”,改成“郎才女才”，生造,把祝福的语气删掉，改变致辞功能,般配的评价、祝福语气,建议改,中,否,,主集,test,
POS-0151,v3,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,常规句,指向男性,,社交与社区,相亲角见闻,无,中,男方年薪不到五十万就别来我们这条街了。,经济条件可以坦诚沟通，但把它设成唯一门槛并不合理。,需改写,男方年薪不到五十万,把经济能力设为男性择偶的准入线。,“收入可以谈，但不宜作为唯一标准”,只删“五十万”，门槛逻辑未变,把择偶中的经济因素完全回避,围绕择偶中经济条件的讨论,应改,中,是,相亲场景的现实描述与主张需区分,主集,test,
POS-0152,v3,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,成语俗谚,双向,,口语与私人交流,长辈聊天,无,中,男大当婚女大当嫁，你们俩别拖了。,你们俩要是想好了就往前走一步，不着急也没关系。,需改写,男大当婚女大当嫁,以年龄到点必须成婚的俗谚施压。,“成家的事按你们自己节奏来”,只删“别拖了”，俗谚保留,把长辈的关心一并删掉，改变对话性质,长辈对两人婚事的关心,应改,中,否,,主集,test,
POS-0153,v3,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,口语与私人交流,朋友劝解,无,中,男人心里再苦也得憋着，跟老婆哭算怎么回事。,心里难受可以跟家里人说说，一直憋着反而更难受。,需改写,男人再苦也得憋着,禁止男性表达脆弱，同属情绪规范。,“想说的时候就说出来，别自己扛”,只删“男人”，保留“跟老婆哭算怎么回事”,改成鼓励对方隐忍，方向相反,建议倾诉或不倾诉这一话题、亲近的人可以倾诉,必改,中,否,反向刻板印象,主集,dev,
POS-0154,v3,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向女性,,口语与私人交流,家庭对话,无,中,女孩子家家的，说话小声点，坐没坐相成什么样子。,公共场合说话小声一些，坐姿也注意一下。,需改写,女孩子家家的,以性别为前提提出行为要求。,“注意一下音量和坐姿”,只删“家家的”，保留“女孩子”,把坐姿这项提醒删掉，丢失一半内容,音量与坐姿两项提醒,必改,易,否,,主集,index,
POS-0155,v3,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,社交与社区,育儿号文案,无,中,男孩就该放养，摔摔打打才长得结实。,孩子需要充分的户外活动和探索空间。,需改写,男孩就该放养,以性别规定养育方式。,“多带孩子户外活动，允许适度冒险”,只把“男孩”改成“孩子”，保留“摔摔打打才结实”,把户外与探索的建议一并删掉,鼓励户外活动与适度冒险,应改,中,否,,主集,dev,
POS-0156,v3,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,双向,,公文与规章,员工手册,无,中,女职工在办公场所应注意仪表得体，男职工衬衫扎入裤腰即可。,全体员工在办公场所应保持仪表整洁，着装以商务休闲为宜。,需改写,女职工应注意仪表／男职工即可,对不同性别提出宽严不一的着装要求。,统一列出着装规范，不按性别分条,只把“女职工”改成“员工”，保留后半句的宽松标准,把着装规范整条删除，丢失制度内容,办公场所着装要求的存在,应改,中,否,兼涉 5.8,主集,test,
POS-0157,v3,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,成语俗谚,指向男性,,口语与私人交流,朋友劝解,无,中,男儿有泪不轻弹，这点挫折忍一忍就过去了。,这点挫折熬一熬就过去了，难受了也可以说出来。,需改写,男儿有泪不轻弹,以成语形式表达情绪压抑的性别规范。,“先扛一阵，实在难受就找人聊聊”,只删“男儿”，保留“有泪不轻弹”,把安慰的意图删掉，只剩说教,安慰对方、挫折会过去这一判断,必改,中,否,,主集,index,
POS-0158,v3,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,口语与私人交流,军训动员,无,中,男生必须坚持到底，女生实在不行可以出列。,身体不适的同学可以出列休息，其余同学坚持完成。,需改写,男生必须／女生实在不行可以,以性别设定不同的坚持标准。,“不舒服的随时报告，其余人坚持”,只删“实在不行”，双重标准仍在,把出列休息这一安排删掉，损害安全,不适者可出列、其余人坚持,必改,中,否,兼涉 4.6,主集,test,
POS-0160,v3,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向男性,,社交与社区,健身博主文案,无,中,男人没点肌肉像什么话，练起来才叫男人。,不管什么体型，规律训练都会让状态更好，练起来。,需改写,没点肌肉／才叫男人,把体型与性别资格挂钩，兼涉 4.2。,“想改善体态就从规律训练开始”,只删后半句，保留“男人没点肌肉像什么话”,把号召训练的内容删掉，丢失文案目的,号召开始训练,必改,中,否,,主集,dev,
POS-0161,v3,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向男性,,文艺创作与评论,影视台词,无,短,连个家都养不起，算什么男人。,（若为角色台词则原样保留并在审校备注中说明）连个家都养不起，算什么男人。,需改写,算什么男人,以经济能力定义男性资格；但若为角色刻画则属创作需要。,作者叙述口吻时改为“家里的开支压力确实不小”,不加区分地直接改写角色台词,把台词删除，破坏剧情,台词的戏剧功能与人物性格,必改,难,是,语境依赖：角色台词属负例，叙述者口吻属正例,主集,test,
POS-0163,v3,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向女性,,口语与私人交流,日常对话,无,中,你这也太不像个女人了，一点温柔劲儿都没有。,你的性格挺直接的，不太绕弯子。,需改写,不像个女人,以性别规范评判性格，属资格定义。,“你说话挺干脆的”,只删“女人”，保留“一点温柔劲儿都没有”,凭空补充夸奖，改变原句语气,对其性格直率这一特点的评价,必改,中,否,,主集,index,
POS-0164,v3,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,成语俗谚,指向男性,,公文与规章,动员讲话,无,中,堂堂七尺男儿，遇到困难就退缩，说得过去吗？,面对这样的困难就退缩，说得过去吗？,需改写,堂堂七尺男儿,以男性身份作为承担责任的前提。,“作为团队的一员，遇到困难就退缩，说得过去吗”,改成“七尺男儿女儿”，生造且更别扭,把反问句式改成陈述，削弱动员效果,反问的动员语气、不应退缩的主张,应改,中,否,,主集,dev,
POS-0166,v3,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向女性,,文艺创作与评论,情感博主口播,无,中,不会做饭、不顾家的，算什么合格的妻子。,做饭与家务由谁承担，是两个人协商的事。,需改写,算什么合格的妻子,以家务能力定义妻子资格。,直接删除该论断,只删“合格”，资格框架仍在,把家务分担这一话题删掉,围绕做饭与家务分担的讨论,必改,易,否,,主集,index,
POS-0167,v3,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向女性,,口语与私人交流,高考志愿咨询,无,中,女生别报土木了，天天在工地上，太苦坚持不下来。,土木专业毕业后驻场时间较长，可以先了解工作节奏再决定。,需改写,女生别报土木,以性别劝阻专业选择。,“这个专业现场工作多，看你能否接受”,只删“女生”，保留“太苦坚持不下来”,把专业的实际工作特点一并删掉，失去参考价值,土木专业驻场时间长这一客观信息,必改,中,否,,主集,index,
POS-0168,v3,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,双向,,公文与规章,部门用人说明,无,中,该岗位常需夜间值守，不适合女性，招聘时优先考虑男性。,该岗位常需夜间值守，应聘者需能接受夜班安排。,需改写,不适合女性,以性别设置岗位门槛。,“需接受轮班，包含夜间时段”,只删“不适合女性”，保留“优先考虑男性”,把夜间值守这一岗位事实删掉,夜间值守的岗位要求,必改,易,否,,主集,index,
POS-0170,v3,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向女性,4.4 ＋ 4.5,口语与私人交流,家庭对话,无,中,女孩子读那么多书干嘛，早点嫁人生个大胖小子才是正事，你妈当年不也这样过来的。,读书读到什么程度、什么时候成家，都由你自己决定。,需改写,读那么多书干嘛／早点嫁人／大胖小子／你妈不也这样,命中 4.3 求学劝阻、4.4 婚育捆绑、隐含男孩偏好、4.5 传统规训。,“你的求学和成家安排，自己拿主意就好”,只删“大胖小子”，其余未动,把家庭对话的语境删掉，改成说明文,这是长辈对晚辈人生安排的表态,必改,中,否,四类叠加,主集,test,
POS-0171,v3,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向女性,,公文与规章,学院转专业答复,无,中,考虑到女生今后就业不便，不建议从中文转到船舶与海洋工程。,转专业需评估课程基础与培养方案衔接，就业情况可参考近三届毕业去向数据。,需改写,女生今后就业不便,以性别预判就业前景阻止转专业。,“转专业请结合课程基础评估，就业数据可查阅”,只删“女生”，保留“就业不便”的断言,把转专业的评估依据删掉，答非所问,转专业申请、需评估的因素,必改,中,否,,主集,index,
